695833 | 03AQ02 Mar 23 02:23:22 03 | L01 D3 (Groth) | 14:19:28.0  52:40:41 2000 |  180 | i | 1.19 | 0.79 0.87  1127 |P 1 V Q|
695834 | 03AQ02 Mar 23 02:27:13 03 | L01 D3 (Groth) | 14:19:26.9  52:40:37 2000 |  180 | i | 1.19 | 0.75 0.83  1128 |P 1 V Q|
695835 | 03AQ02 Mar 23 02:31:03 03 | L01 D3 (Groth) | 14:19:28.4  52:40:30 2000 |  180 | i | 1.19 | 1.01 1.07  1115 |P 2 V Q|
695836 | 03AQ02 Mar 23 02:34:53 03 | L01 D3 (Groth) | 14:19:29.1  52:40:43 2000 |  180 | i | 1.19 | 0.82 0.90  1098 |P 1 V Q|
695837 | 03AQ02 Mar 23 02:38:44 03 | L01 D3 (Groth) | 14:19:27.7  52:40:51 2000 |  180 | i | 1.19 | 0.80 0.89  1093 |P 1 V Q|
695838 | 03AQ02 Mar 23 02:42:34 03 | L01 D3 (Groth) | 14:19:27.2  52:40:47 2000 |  180 | i | 1.19 | 0.77 0.86  1078 |P 1 V Q|
695839 | 03AQ02 Mar 23 02:46:24 03 | L01 D3 (Groth) | 14:19:28.7  52:40:34 2000 |  180 | i | 1.19 | 0.76 0.85  1069 |P 1 V Q|
695840 | 03AQ02 Mar 23 02:50:14 03 | L01 D3 (Groth) | 14:19:28.5  52:40:48 2000 |  180 | i | 1.19 | 0.74 0.83  1063 |P 1 V Q|
695841 | 03AQ02 Mar 23 02:54:04 03 | L01 D3 (Groth) | 14:19:27.4  52:40:33 2000 |  180 | i | 1.19 | 0.74 0.82  1059 |P 1 V Q|
695842 | 03AQ02 Mar 23 02:57:54 03 | L01 D3 (Groth) | 14:19:27.1  52:40:42 2000 |  180 | i | 1.19 | 0.79 0.87  1070 |P 1 V Q|
695843 | 03AQ02 Mar 23 03:01:44 03 | L01 D3 (Groth) | 14:19:28.8  52:40:38 2000 |  180 | i | 1.19 | 0.74 0.82  1091 |P 1 V Q|
695844 | 03AQ02 Mar 23 03:05:34 03 | L01 D3 (Groth) | 14:19:27.7  52:40:46 2000 |  180 | i | 1.19 | 0.70 0.79  1117 |P 1 V Q|
695845 | 03AQ02 Mar 23 03:09:25 03 | L01 D3 (Groth) | 14:19:28.2  52:40:35 2000 |  180 | i | 1.20 | 0.86 0.93  1125 |P 1 V Q|
695846 | 03AQ02 Mar 23 03:13:15 03 | L01 D3 (Groth) | 14:19:28.4  52:40:44 2000 |  180 | i | 1.20 | 0.72 0.80  1113 |P 1 V Q|
695847 | 03AQ02 Mar 23 03:17:05 03 | L01 D3 (Groth) | 14:19:27.6  52:40:36 2000 |  180 | i | 1.20 | 0.79 0.87  1108 |P 1 V Q|
695848 | 03AQ02 Mar 23 03:20:55 03 | L01 D3 (Groth) | 14:19:27.9  52:40:31 2000 |  180 | i | 1.20 | 0.77 0.85  1089 |P 1 V Q|
695849 | 03AQ02 Mar 23 03:24:45 03 | L01 D3 (Groth) | 14:19:28.1  52:40:49 2000 |  180 | i | 1.20 | 0.89 0.96  1094 |P 1 V Q|
695850 | 03AQ02 Mar 23 03:28:37 03 | L01 D3 (Groth) | 14:19:28.3  52:40:40 2000 |  180 | i | 1.21 | 0.86 0.94  1088 |P 1 V Q|
695851 | 03AQ02 Mar 23 03:32:27 03 | L01 D3 (Groth) | 14:19:27.6  52:40:41 2000 |  180 | i | 1.21 | 0.84 0.92  1070 |P 1 V Q|
695852 | 03AQ02 Mar 23 03:36:17 03 | L01 D3 (Groth) | 14:19:28.7  52:40:47 2000 |  180 | i | 1.21 | 0.73 0.82  1062 |P 1 V Q|
695853 | 03AQ02 Mar 23 03:42:54 03 | L01 D3 (Groth) | 14:19:28.0  52:40:41 2000 |  180 | r | 1.22 | 0.79 0.88   972 |P 1 V Q|
695854 | 03AQ02 Mar 23 03:46:44 03 | L01 D3 (Groth) | 14:19:26.9  52:40:37 2000 |  180 | r | 1.22 | 0.77 0.87   973 |P 1 V Q|
695855 | 03AQ02 Mar 23 03:50:33 03 | L01 D3 (Groth) | 14:19:28.4  52:40:30 2000 |  180 | r | 1.23 | 0.77 0.87   965 |P 1 V Q|
