,id,ra,dec,ra(subaru),dec(subaru),FDFC
0,W_010001,128.604,-1.3,83424.96,-11800.0,True
1,W_010002,129.904,-1.3,83936.96,-11800.0,True
2,W_010003,131.203,-1.3,84448.72,-11800.0,True
3,W_010004,132.502,-1.3,85000.48,-11800.0,True
4,W_010005,133.801,-1.3,85512.24,-11800.0,True
5,W_010006,135.1,-1.3,90024.0,-11800.0,True
6,W_010007,136.399,-1.3,90535.76,-11800.0,True
7,W_010008,137.698,-1.3,91047.52,-11800.0,True
8,W_010009,138.997,-1.3,91559.28,-11800.0,True
9,W_010010,140.296,-1.3,92111.04,-11800.0,True
10,W_010011,141.595,-1.3,92622.8,-11800.0,True
11,W_010012,142.894192,-1.3,93134.606,-11800.0,True
12,W_010013,144.19323,-1.3,93646.375,-11800.0,True
13,W_010014,145.492268,-1.3,94158.144,-11800.0,True
14,W_010015,146.791306,-1.3,94709.913,-11800.0,True
15,W_010016,148.090344,-1.3,95221.683,-11800.0,True
16,W_010017,149.389382,-1.3,95733.452,-11800.0,True
17,W_010018,150.68842,-1.3,100245.221,-11800.0,True
18,W_010019,151.987458,-1.3,100756.99,-11800.0,True
19,W_010020,153.286496,-1.3,101308.759,-11800.0,True
20,W_010021,154.585535,-1.3,101820.528,-11800.0,True
21,W_010022,155.884573,-1.3,102332.298,-11800.0,True
22,W_010023,157.183611,-1.3,102844.067,-11800.0,True
23,W_010024,158.482649,-1.3,103355.836,-11800.0,True
24,W_010025,159.781687,-1.3,103907.605,-11800.0,True
25,W_010026,161.080725,-1.3,104419.374,-11800.0,True
26,W_010027,162.379763,-1.3,104931.143,-11800.0,True
27,W_010028,163.678801,-1.3,105442.912,-11800.0,True
28,W_010029,164.977839,-1.3,105954.681,-11800.0,True
29,W_010030,166.276878,-1.3,110506.451,-11800.0,True
30,W_010031,167.575916,-1.3,111018.22,-11800.0,True
31,W_010032,168.874954,-1.3,111529.989,-11800.0,True
32,W_010033,170.173992,-1.3,112041.758,-11800.0,True
33,W_010034,171.47303,-1.3,112553.527,-11800.0,True
34,W_010035,172.772068,-1.3,113105.296,-11800.0,True
35,W_010036,174.071106,-1.3,113617.065,-11800.0,True
36,W_010037,175.370144,-1.3,114128.835,-11800.0,True
37,W_010038,176.669182,-1.3,114640.604,-11800.0,True
38,W_010039,177.96822,-1.3,115152.373,-11800.0,True
39,W_010040,179.267259,-1.3,115704.142,-11800.0,True
40,W_010041,180.566297,-1.3,120215.911,-11800.0,True
41,W_010042,181.865335,-1.3,120727.68,-11800.0,True
42,W_010043,183.164373,-1.3,121239.45,-11800.0,True
43,W_010044,184.463411,-1.3,121751.219,-11800.0,True
44,W_010045,185.762449,-1.3,122302.988,-11800.0,True
45,W_010046,187.061487,-1.3,122814.757,-11800.0,True
46,W_010047,188.360525,-1.3,123326.526,-11800.0,True
47,W_010048,189.659563,-1.3,123838.295,-11800.0,True
48,W_010049,190.958602,-1.3,124350.064,-11800.0,True
49,W_010050,192.25764,-1.3,124901.834,-11800.0,True
50,W_010051,193.556678,-1.3,125413.603,-11800.0,True
51,W_010052,194.855716,-1.3,125925.372,-11800.0,True
52,W_010053,196.154754,-1.3,130437.141,-11800.0,True
53,W_010054,197.453792,-1.3,130948.91,-11800.0,True
54,W_010055,198.75283,-1.3,131500.679,-11800.0,True
55,W_010056,200.051868,-1.3,132012.448,-11800.0,True
56,W_010057,201.350906,-1.3,132524.217,-11800.0,True
57,W_010058,202.649944,-1.3,133035.987,-11800.0,True
58,W_010059,203.948983,-1.3,133547.756,-11800.0,True
59,W_010060,205.248021,-1.3,134059.525,-11800.0,True
60,W_010061,206.547059,-1.3,134611.294,-11800.0,True
61,W_010062,207.846097,-1.3,135123.063,-11800.0,True
62,W_010063,209.145135,-1.3,135634.832,-11800.0,True
63,W_010064,210.444173,-1.3,140146.602,-11800.0,True
64,W_010065,211.743211,-1.3,140658.371,-11800.0,True
65,W_010066,213.042249,-1.3,141210.14,-11800.0,True
66,W_010067,214.341287,-1.3,141721.909,-11800.0,True
67,W_010068,215.640326,-1.3,142233.678,-11800.0,True
68,W_010069,216.939364,-1.3,142745.447,-11800.0,True
69,W_010070,218.238402,-1.3,143257.216,-11800.0,True
70,W_010071,219.53744,-1.3,143808.986,-11800.0,True
71,W_010072,220.836478,-1.3,144320.755,-11800.0,True
72,W_010073,222.135516,-1.3,144832.524,-11800.0,True
73,W_010074,223.434554,-1.3,145344.293,-11800.0,True
74,W_010075,224.733592,-1.3,145856.062,-11800.0,True
75,W_010076,129.254,-0.175,83700.96,-1030.0,True
76,W_010077,130.553,-0.175,84212.72,-1030.0,True
77,W_010078,131.852,-0.175,84724.48,-1030.0,True
78,W_010079,133.151,-0.175,85236.24,-1030.0,True
79,W_010080,134.45,-0.175,85748.0,-1030.0,True
80,W_010081,135.749,-0.175,90259.76,-1030.0,True
81,W_010082,137.049,-0.175,90811.76,-1030.0,True
82,W_010083,138.348,-0.175,91323.52,-1030.0,True
83,W_010084,139.647,-0.175,91835.28,-1030.0,True
84,W_010085,140.946,-0.175,92347.04,-1030.0,True
85,W_010086,142.245,-0.175,92858.8,-1030.0,True
86,W_010087,143.543711,-0.175,93410.491,-1030.0,True
87,W_010088,144.842749,-0.175,93922.26,-1030.0,True
88,W_010089,146.141787,-0.175,94434.029,-1030.0,True
89,W_010090,147.440825,-0.175,94945.798,-1030.0,True
90,W_010091,148.739863,-0.175,95457.567,-1030.0,True
91,W_010092,150.038901,-0.175,100009.336,-1030.0,True
